ID;Month;Sliding;Order;OrderS;Elapsed.Time;Time;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Sr87;Ba138;Sample;Temp;Sal;Mg24w;Ca43w;Mn55w;Cu65w;Zn66w;Sr88w;Ba138w;MgCa;MnCa;CuCa;ZnCa;SrCa;BaCa
ID047;SEP;AUG;3;2;58.85699487;58.9;2022;Juvenile;Late dry;Sao Mateus;173;84.67;1.635276706;212.0552298;0.621124828;0.009455531;0.168447706;3029.530016;7.344776072;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID047;SEP;AUG;3;2;61.11999488;61.1;2022;Juvenile;Late dry;Sao Mateus;173;84.67;1.635276706;228.3372371;0.621124828;1.958636696;0.343078876;3292.65793;7.581833985;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID047;SEP;AUG;3;2;63.38400292;63.4;2022;Juvenile;Late dry;Sao Mateus;173;84.67;1.635276706;217.8776769;1.177919397;0.051906035;0.514210368;3333.606738;6.549387528;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID048;SEP;AUG;3;2;79.22900391;79.2;2022;Juvenile;Late dry;Sao Mateus;154;63.25;1.73180252;271.3601178;0.034908486;0.044423197;0.224399497;3367.957885;6.624176093;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID048;SEP;AUG;3;2;81.49291992;81.5;2022;Juvenile;Late dry;Sao Mateus;154;63.25;1.73180252;276.6857917;0.930319836;0.005100441;0.195689331;3180.656954;4.045933327;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID048;SEP;AUG;3;2;83.75683594;83.8;2022;Juvenile;Late dry;Sao Mateus;154;63.25;1.73180252;261.0046121;0.656203623;0.395552388;0.113617847;3121.343894;4.097660868;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID050;SEP;AUG;3;2;58.85595703;58.9;2022;Juvenile;Late dry;Sao Mateus;126;32.33;1.616196155;259.8683285;0.23669745;0.023828363;0.726832551;3320.587348;5.944485243;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID050;SEP;AUG;3;2;61.11987305;61.1;2022;Juvenile;Late dry;Sao Mateus;126;32.33;1.616196155;259.8423745;0.38845024;0.234055325;0.395564384;3582.100407;5.430178023;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID050;SEP;AUG;3;2;63.38281298;63.4;2022;Juvenile;Late dry;Sao Mateus;126;32.33;1.616196155;272.0035843;2.312468137;0.291870123;0.551856958;3322.302477;4.843108504;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID051;SEP;AUG;3;2;33.95605493;34;2022;Juvenile;Late dry;Sao Mateus;92;13.05;1.675895866;239.8266495;0.218367803;0.045751732;0.184519963;3070.39815;5.120299296;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID051;SEP;AUG;3;2;36.21997094;36.2;2022;Juvenile;Late dry;Sao Mateus;92;13.05;1.675895866;256.1947385;0.084440991;0.119698559;0.081088335;2964.375221;4.031290322;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID051;SEP;AUG;3;2;38.48303294;38.5;2022;Juvenile;Late dry;Sao Mateus;92;13.05;1.675895866;232.0306763;1.235232737;0.367177104;0.183341241;2591.459249;3.655225289;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID052;SEP;AUG;3;2;49.80102491;49.8;2022;Juvenile;Late dry;Sao Mateus;91;12.43;1.649479611;291.1768492;0.163316998;0.149741665;0.180125337;2857.907616;2.600831222;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID052;SEP;AUG;3;2;52.06494093;52.1;2022;Juvenile;Late dry;Sao Mateus;91;12.43;1.649479611;440.8914678;3.249411917;0.22623125;0.25691049;3583.102818;2.709824028;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID052;SEP;AUG;3;2;54.32910085;54.3;2022;Juvenile;Late dry;Sao Mateus;91;12.43;1.649479611;765.463532;0.883810857;0.66160997;4.226262535;3060.28775;2.347732933;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID053;SEP;AUG;3;2;31.69195604;31.7;2022;Juvenile;Late dry;Sao Mateus;72;5.81;1.556605796;270.8798152;1.816492469;0.162240137;0.188733076;3096.508973;1.513627607;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID053;SEP;AUG;3;2;33.95599413;34;2022;Juvenile;Late dry;Sao Mateus;72;5.81;1.556605796;268.0055607;1.46172309;0.029855913;0.116161098;2562.448252;1.415788832;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID053;SEP;AUG;3;2;36.21899509;36.2;2022;Juvenile;Late dry;Sao Mateus;72;5.81;1.556605796;269.2902798;0.310280875;0.155669831;0.037380982;2226.297023;1.250629425;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID209;SEP;AUG;3;2;72.43798804;72.4;2022;Juvenile;Late dry;Sao Mateus;190;112.78;1.644263012;239.417846;0.603963425;0.031080637;0.165213391;3010.236594;5.54415424;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID209;SEP;AUG;3;2;74.70190406;74.7;2022;Juvenile;Late dry;Sao Mateus;190;112.78;1.644263012;241.3467313;0.48890808;0.132951566;0.017151951;3066.471887;4.391264606;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID209;SEP;AUG;3;2;76.96594214;77;2022;Juvenile;Late dry;Sao Mateus;190;112.78;1.644263012;232.7953259;0.5180468;0.15044794;0.03333236;2851.573412;3.82564128;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID211;SEP;AUG;3;2;72.437989;72.4;2022;Juvenile;Late dry;Sao Mateus;160;57.56;1.405273438;236.9380476;0.112086154;0.094172913;1.009880119;3083.881557;9.790848584;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID211;SEP;AUG;3;2;74.70202708;74.7;2022;Juvenile;Late dry;Sao Mateus;160;57.56;1.405273438;261.5778005;1.570372466;0.272779354;0.872895371;3198.41627;9.090319185;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
