ID;Elapsed.Time;Time;Month;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Ba138
ID159;74.70202708;74.7;NOV;2022;Juvenile;Early wet;Sao Mateus;221;158.08;1.464536184;269.7820095;0.142011526;0.218276887;0.565647934;6.216475589
ID159;76.96606493;77;NOV;2022;Juvenile;Early wet;Sao Mateus;221;158.08;1.464536184;267.3005519;0.688629135;0.444617396;0.316506553;6.23149322
ID159;79.23010302;79.2;NOV;2022;Juvenile;Early wet;Sao Mateus;221;158.08;1.464536184;285.9690398;0.184243962;0.253578658;0.488883094;7.586609117
ID160;70.17504907;70.2;NOV;2022;Juvenile;Early wet;Sao Mateus;194;113.54;1.555047646;215.1204489;0.799882766;0.136974754;0.111049839;2.12659835
ID160;72.43896508;72.4;NOV;2022;Juvenile;Early wet;Sao Mateus;194;113.54;1.555047646;205.5367106;1.944061094;0.040848778;0.192077653;2.421084698
ID160;74.70214891;74.7;NOV;2022;Juvenile;Early wet;Sao Mateus;194;113.54;1.555047646;213.3910232;1.02907572;1.181624033;0.199967718;3.351415046
ID161;67.91088796;67.9;NOV;2022;Juvenile;Early wet;Sao Mateus;202;128.24;1.555856007;223.8609224;0.193580616;0.239985033;0.047637857;7.242135743
ID161;70.17394996;70.2;NOV;2022;Juvenile;Early wet;Sao Mateus;202;128.24;1.555856007;244.3480467;0.246509355;0.071623469;0.047637857;7.123612893
ID161;72.43798804;72.4;NOV;2022;Juvenile;Early wet;Sao Mateus;202;128.24;1.555856007;235.3550572;0.089554989;0.276815486;2.835760031;6.955833513
ID162;76.96582103;77;NOV;2022;Juvenile;Early wet;Sao Mateus;182;102.44;1.699242673;247.6614277;0.911462528;0.182015341;0.276260898;4.188562491
ID162;79.22998095;79.2;NOV;2022;Juvenile;Early wet;Sao Mateus;182;102.44;1.699242673;248.4717773;1.6061929;0.006004999;0.047259359;4.357250237
ID162;81.49291992;81.5;NOV;2022;Juvenile;Early wet;Sao Mateus;182;102.44;1.699242673;265.0263696;0.213852764;0.071380085;0.42610699;5.942678792
ID163;74.70202589;74.7;DEC;2022;Juvenile;Early wet;Sao Mateus;222;173.01;1.581292761;222.9822673;0.392292882;0.208811795;0.671876845;5.018662618
ID163;76.96600294;77;DEC;2022;Juvenile;Early wet;Sao Mateus;222;173.01;1.581292761;236.1555619;0.63193775;0.129698569;0.407646721;4.868174594
ID163;79.22900391;79.2;DEC;2022;Juvenile;Early wet;Sao Mateus;222;173.01;1.581292761;256.7352295;1.078433836;0.628879575;0.731737872;4.574990773
ID164;65.64703393;65.6;DEC;2022;Juvenile;Early wet;Sao Mateus;166;72.52;1.58538057;219.0268529;1.694377818;0.167251984;0.032532696;2.721396935
ID164;67.91101098;67.9;DEC;2022;Juvenile;Early wet;Sao Mateus;166;72.52;1.58538057;243.1034364;0.245021954;0.161303673;0.191234992;3.832778073
ID164;70.17401099;70.2;DEC;2022;Juvenile;Early wet;Sao Mateus;166;72.52;1.58538057;307.3641093;0.597092893;0.632788627;4.814409574;4.416894035
ID165;63.38400292;63.4;DEC;2022;Juvenile;Early wet;Sao Mateus;162;61.8;1.453595037;251.9682711;NA;0.181302039;0.160234008;3.816611174
ID165;65.64800978;65.6;DEC;2022;Juvenile;Early wet;Sao Mateus;162;61.8;1.453595037;224.1046192;NA;0.146930962;0.095646085;3.157040004
ID165;67.91101098;67.9;DEC;2022;Juvenile;Early wet;Sao Mateus;162;61.8;1.453595037;229.3775821;NA;0.352069571;1.600198785;1.098883544
ID173;81.49395704;81.5;AUG;2022;Juvenile;Late dry;Sao Mateus;197;115.45;1.510063669;264.2841664;0.346739372;0.114913031;1.100314956;9.616094887
ID173;83.75695801;83.8;AUG;2022;Juvenile;Late dry;Sao Mateus;197;115.45;1.510063669;263.4952823;0.336157582;0.55421191;1.604383229;9.711609227
ID173;86.02099586;86;AUG;2022;Juvenile;Late dry;Sao Mateus;197;115.45;1.510063669;284.631594;0.073430544;0.287957071;1.604383229;8.702491812
ID174;67.91113305;67.9;AUG;2022;Juvenile;Late dry;Sao Mateus;185;91.11;1.43896709;240.4107599;0.480016742;0.206195811;0.233599921;21.70566406
ID174;70.17407203;70.2;AUG;2022;Juvenile;Late dry;Sao Mateus;185;91.11;1.43896709;275.2354282;0.406727598;0.184168304;0.464293441;17.95617183
ID174;72.437989;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;185;91.11;1.43896709;252.3583298;1.067214912;0.064495387;0.035420689;11.72939149
ID197;74.70202589;74.7;OCT;2022;Juvenile;Early wet;Sao Mateus;196;127.96;1.699440709;270.8383136;1.026646986;0.30730349;0.424830592;8.071499395
ID197;76.96594191;77;OCT;2022;Juvenile;Early wet;Sao Mateus;196;127.96;1.699440709;225.6161181;0.276967117;0.135176301;0.424830592;4.528210063
ID197;79.22997999;79.2;OCT;2022;Juvenile;Early wet;Sao Mateus;196;127.96;1.699440709;230.5202466;0.043780397;0.303962998;0.264836064;3.476222742
ID198;63.38403296;63.4;OCT;2022;Juvenile;Early wet;Sao Mateus;133;40.13;1.70574551;229.1877748;1.574441733;0.116413494;0.37162249;3.192796961
ID198;65.64801002;65.6;OCT;2022;Juvenile;Early wet;Sao Mateus;133;40.13;1.70574551;228.0762746;0.83573904;0.181623407;0.122481383;3.071942905
ID198;67.91101098;67.9;OCT;2022;Juvenile;Early wet;Sao Mateus;133;40.13;1.70574551;238.1062039;0.310694906;0.153227749;0.953495984;3.290004284
ID199;70.174927;70.2;OCT;2022;Juvenile;Early wet;Sao Mateus;139;43.52;1.620483025;201.4993723;0.579760462;0.126859914;1.049792342;2.853489734
ID199;72.43786716;72.4;OCT;2022;Juvenile;Early wet;Sao Mateus;139;43.52;1.620483025;187.8776987;0.011513322;0.994281081;0.177307369;2.683552681
ID199;74.70202708;74.7;OCT;2022;Juvenile;Early wet;Sao Mateus;139;43.52;1.620483025;291.2381026;0.018506408;0.994281081;1.072898216;2.703225722
ID201;65.64697289;65.6;OCT;2022;Juvenile;Early wet;Sao Mateus;160;66.69;1.628173828;227.3988052;2.110664565;0.055350211;0.261228894;9.374871849
ID201;67.91101098;67.9;OCT;2022;Juvenile;Early wet;Sao Mateus;160;66.69;1.628173828;221.4136947;1.532626457;0.093937577;0.304792302;6.101951738
ID201;70.174927;70.2;OCT;2022;Juvenile;Early wet;Sao Mateus;160;66.69;1.628173828;214.8748192;1.308142011;0.107294953;0.108967024;5.202116311
ID202;67.91101098;67.9;OCT;2022;Juvenile;Early wet;Sao Mateus;149;52.31;1.581342397;208.3630467;1.01883955;0.838675262;1.487981125;3.784319549
ID202;70.17504907;70.2;OCT;2022;Juvenile;Early wet;Sao Mateus;149;52.31;1.581342397;199.5926315;1.267084506;2.703044618;0.319006091;3.799597762
ID202;72.43902612;72.4;OCT;2022;Juvenile;Early wet;Sao Mateus;149;52.31;1.581342397;207.7503748;0.067576208;2.5323664;0.817906366;4.32325444
ID204;83.75708008;83.8;OCT;2022;Juvenile;Early wet;Sao Mateus;203;142.02;1.697701743;195.2525688;1.798075016;0.131649002;0.159722987;5.053489311
ID204;86.02099586;86;OCT;2022;Juvenile;Early wet;Sao Mateus;203;142.02;1.697701743;186.0748689;0.045471753;0.289906427;0.04242486;4.130839589
ID204;88.2840569;88.3;OCT;2022;Juvenile;Early wet;Sao Mateus;203;142.02;1.697701743;955.2461292;1.798075016;0.771367991;0.847282915;0.697153357
ID205;81.49291992;81.5;OCT;2022;Juvenile;Early wet;Sao Mateus;230;195.02;1.602860196;230.3801358;1.724020663;0.009814134;0.416312846;10.24608104
ID205;83.75708008;83.8;OCT;2022;Juvenile;Early wet;Sao Mateus;230;195.02;1.602860196;259.1555861;0.643520057;0.105878395;0.280911187;7.589061612
ID205;86.02002001;86;OCT;2022;Juvenile;Early wet;Sao Mateus;230;195.02;1.602860196;229.932937;0.472354566;0.011890442;0.563584282;5.444249284
ID209;72.43798804;72.4;SEP;2022;Juvenile;Late dry;Sao Mateus;190;112.78;1.644263012;239.417846;0.603963425;0.031080637;0.165213391;5.54415424
ID209;74.70190406;74.7;SEP;2022;Juvenile;Late dry;Sao Mateus;190;112.78;1.644263012;241.3467313;0.48890808;0.132951566;0.017151951;4.391264606
ID209;76.96594214;77;SEP;2022;Juvenile;Late dry;Sao Mateus;190;112.78;1.644263012;232.7953259;0.5180468;0.15044794;0.03333236;3.82564128
ID211;72.437989;72.4;SEP;2022;Juvenile;Late dry;Sao Mateus;160;57.56;1.405273438;236.9380476;0.112086154;0.094172913;1.009880119;9.790848584
ID211;74.70202708;74.7;SEP;2022;Juvenile;Late dry;Sao Mateus;160;57.56;1.405273438;261.5778005;1.570372466;0.272779354;0.872895371;9.090319185
ID211;76.96502709;77;SEP;2022;Juvenile;Late dry;Sao Mateus;160;57.56;1.405273438;270.3481173;0.474732871;0.398648804;4.271612499;8.208482589
ID212;74.70196509;74.7;SEP;2022;Juvenile;Late dry;Sao Mateus;165;62.42;1.389542811;238.4050669;0.547948844;0.011952195;0.239852239;5.133392742
ID212;76.96600318;77;SEP;2022;Juvenile;Late dry;Sao Mateus;165;62.42;1.389542811;244.772982;0.519237307;0.196418816;0.188382618;5.183315477
ID212;79.22991896;79.2;SEP;2022;Juvenile;Late dry;Sao Mateus;165;62.42;1.389542811;257.4095505;0.313447144;0.023640089;0.139407833;5.127269793
ID220;76.96600294;77;NOV;2022;Juvenile;Early wet;Sao Mateus;189;122.73;1.817880461;242.6695704;2.391255158;0.175037926;0.244648558;5.831267966
ID220;79.23004103;79.2;NOV;2022;Juvenile;Early wet;Sao Mateus;189;122.73;1.817880461;238.3523761;0.074140966;0.161151619;0.100560057;5.54810314
ID220;81.49401808;81.5;NOV;2022;Juvenile;Early wet;Sao Mateus;189;122.73;1.817880461;229.579056;1.662754621;0.158307374;0.134868274;5.302586495
ID221;70.17504883;70.2;NOV;2022;Juvenile;Early wet;Sao Mateus;173;81.92;1.582164495;198.8878389;0.171550535;0.516568544;0.03118896;3.639167368
ID221;72.437989;72.4;NOV;2022;Juvenile;Early wet;Sao Mateus;173;81.92;1.582164495;204.1705988;1.049220716;0.05241887;0.357467965;3.868775481
ID221;74.70202684;74.7;NOV;2022;Juvenile;Early wet;Sao Mateus;173;81.92;1.582164495;212.7296468;1.385486699;0.114951461;1.146792296;3.507379358
ID222;47.53799391;47.5;NOV;2022;Juvenile;Early wet;Sao Mateus;104;17.56;1.561077606;227.4641783;0.008468367;0.131312147;0.031813387;1.641005678
ID222;49.80200195;49.8;NOV;2022;Juvenile;Early wet;Sao Mateus;104;17.56;1.561077606;235.7727923;0.072495587;0.075448606;0.23620074;1.663529637
ID222;52.06500196;52.1;NOV;2022;Juvenile;Early wet;Sao Mateus;104;17.56;1.561077606;235.0296234;0.065288042;0.190062766;0.189983164;2.071188151
ID235;67.91113305;67.9;OCT;2022;Juvenile;Early wet;Sao Mateus;186;113.11;1.757770492;211.2080499;0.248529923;0.359569212;0.465201455;3.264372692
ID235;70.17407298;70.2;OCT;2022;Juvenile;Early wet;Sao Mateus;186;113.11;1.757770492;227.3295403;0.387785116;0.012473983;0.327408476;2.871954556
ID235;72.437989;72.4;OCT;2022;Juvenile;Early wet;Sao Mateus;186;113.11;1.757770492;222.1671666;0.248529923;0.032549471;0.186470546;2.668308687
ID236;65.64819407;65.6;OCT;2022;Juvenile;Early wet;Sao Mateus;190;125.1;1.823881032;203.9585518;0.325812321;0.143113887;0.036955045;4.329965642
ID236;67.91113305;67.9;OCT;2022;Juvenile;Early wet;Sao Mateus;190;125.1;1.823881032;214.2826914;0.482705359;0.901517101;0.329192633;3.750233599
ID236;70.17504907;70.2;OCT;2022;Juvenile;Early wet;Sao Mateus;190;125.1;1.823881032;202.8904275;0.325812321;0.004520371;0.126112087;3.672469238
ID247;76.96600294;77;JAN;2023;Juvenile;Late wet;Sao Mateus;192;117.52;1.660382306;227.525943;0.777063026;0.137978529;0.001719261;25.30999115
ID247;79.22900391;79.2;JAN;2023;Juvenile;Late wet;Sao Mateus;192;117.52;1.660382306;229.2372395;0.022899932;0.281515462;0.300311847;21.8512855
ID247;81.49298096;81.5;JAN;2023;Juvenile;Late wet;Sao Mateus;192;117.52;1.660382306;226.7785327;1.031890739;0.028491793;0.222718378;24.20641357
