"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Ba138";"Ba_water";"Temp_water";"Sal_water"
"ID374";"92.8";"APR";2023;2023-04-15;235;212.5;1.637402117;9.091828891;8286.91900775;28.88;12.2857142857143
"ID374";"95.1";"APR";2023;2023-04-15;235;212.5;1.637402117;9.631260193;8286.91900775;28.88;12.2857142857143
"ID376";"81.5";"APR";2023;2023-04-15;223;192.46;1.735505092;7.605278033;8286.91900775;28.88;12.2857142857143
"ID376";"83.8";"APR";2023;2023-04-15;223;192.46;1.735505092;11.27853408;8286.91900775;28.88;12.2857142857143
"ID376";"86";"APR";2023;2023-04-15;223;192.46;1.735505092;14.38708133;8286.91900775;28.88;12.2857142857143
"ID378";"79.2";"APR";2023;2023-04-15;215;128.54;1.293370395;9.995915724;8286.91900775;28.88;12.2857142857143
"ID378";"81.5";"APR";2023;2023-04-15;215;128.54;1.293370395;15.07161483;8286.91900775;28.88;12.2857142857143
"ID378";"83.8";"APR";2023;2023-04-15;215;128.54;1.293370395;15.95186576;8286.91900775;28.88;12.2857142857143
"ID381";"74.7";"APR";2023;2023-04-15;233;210.75;1.666095227;27.53609022;8286.91900775;28.88;12.2857142857143
"ID381";"77";"APR";2023;2023-04-15;233;210.75;1.666095227;40.93354873;8286.91900775;28.88;12.2857142857143
"ID381";"79.2";"APR";2023;2023-04-15;233;210.75;1.666095227;73.27029386;8286.91900775;28.88;12.2857142857143
"ID382";"77";"APR";2023;2023-04-15;210;174.49;1.884137782;46.20266858;8286.91900775;28.88;12.2857142857143
"ID382";"79.2";"APR";2023;2023-04-15;210;174.49;1.884137782;39.64898804;8286.91900775;28.88;12.2857142857143
"ID382";"81.5";"APR";2023;2023-04-15;210;174.49;1.884137782;36.17067845;8286.91900775;28.88;12.2857142857143
"ID383";"88.3";"APR";2023;2023-04-15;198;147.37;1.898512726;65.96299875;8286.91900775;28.88;12.2857142857143
"ID383";"90.5";"APR";2023;2023-04-15;198;147.37;1.898512726;90.07043002;8286.91900775;28.88;12.2857142857143
"ID383";"92.8";"APR";2023;2023-04-15;198;147.37;1.898512726;99.26956171;8286.91900775;28.88;12.2857142857143
"ID385";"88.3";"APR";2023;2023-04-15;200;184.81;2.310125;23.09748265;8286.91900775;28.88;12.2857142857143
"ID385";"90.5";"APR";2023;2023-04-15;200;184.81;2.310125;28.42176109;8286.91900775;28.88;12.2857142857143
"ID385";"92.8";"APR";2023;2023-04-15;200;184.81;2.310125;44.03712632;8286.91900775;28.88;12.2857142857143
"ID386";"67.9";"APR";2023;2023-04-15;230;204.86;1.683734692;8.361346064;8286.91900775;28.88;12.2857142857143
"ID386";"70.2";"APR";2023;2023-04-15;230;204.86;1.683734692;9.60808075;8286.91900775;28.88;12.2857142857143
"ID386";"72.4";"APR";2023;2023-04-15;230;204.86;1.683734692;10.38458301;8286.91900775;28.88;12.2857142857143
"ID388";"81.5";"APR";2023;2023-04-15;185;107.91;1.704301818;6.853975105;8286.91900775;28.88;12.2857142857143
"ID388";"83.8";"APR";2023;2023-04-15;185;107.91;1.704301818;12.99865698;8286.91900775;28.88;12.2857142857143
"ID388";"86";"APR";2023;2023-04-15;185;107.91;1.704301818;20.72928177;8286.91900775;28.88;12.2857142857143
"ID390";"58.9";"APR";2023;2023-04-15;129;35.91;1.672808684;24.18759623;8286.91900775;28.88;12.2857142857143
"ID390";"61.1";"APR";2023;2023-04-15;129;35.91;1.672808684;21.26193141;8286.91900775;28.88;12.2857142857143
"ID390";"63.4";"APR";2023;2023-04-15;129;35.91;1.672808684;18.00015097;8286.91900775;28.88;12.2857142857143
"ID480";"92.8";"MAY";2023;2023-05-15;225;207.01;1.817371742;20.79422737;7671.20623775;31.39;12.7142857142857
"ID480";"95.1";"MAY";2023;2023-05-15;225;207.01;1.817371742;16.35330685;7671.20623775;31.39;12.7142857142857
"ID480";"97.3";"MAY";2023;2023-05-15;225;207.01;1.817371742;15.9328072;7671.20623775;31.39;12.7142857142857
"ID481";"79.2";"MAY";2023;2023-05-15;205;144.96;1.682622133;12.0185055;7671.20623775;31.39;12.7142857142857
"ID481";"81.5";"MAY";2023;2023-05-15;205;144.96;1.682622133;11.99657713;7671.20623775;31.39;12.7142857142857
"ID481";"83.8";"MAY";2023;2023-05-15;205;144.96;1.682622133;8.495858084;7671.20623775;31.39;12.7142857142857
"ID482";"72.4";"MAY";2023;2023-05-15;180;100.04;1.715363512;26.12581519;7671.20623775;31.39;12.7142857142857
"ID482";"74.7";"MAY";2023;2023-05-15;180;100.04;1.715363512;22.94598101;7671.20623775;31.39;12.7142857142857
"ID482";"77";"MAY";2023;2023-05-15;180;100.04;1.715363512;19.6375906;7671.20623775;31.39;12.7142857142857
"ID487";"54.3";"MAY";2023;2023-05-15;160;72.32;1.765625;11.29480188;7671.20623775;31.39;12.7142857142857
"ID487";"56.6";"MAY";2023;2023-05-15;160;72.32;1.765625;6.488054728;7671.20623775;31.39;12.7142857142857
"ID487";"58.9";"MAY";2023;2023-05-15;160;72.32;1.765625;6.692761153;7671.20623775;31.39;12.7142857142857
"ID488";"56.6";"MAY";2023;2023-05-15;137;46.67;1.814997785;30.12658271;7671.20623775;31.39;12.7142857142857
"ID488";"58.9";"MAY";2023;2023-05-15;137;46.67;1.814997785;22.91414499;7671.20623775;31.39;12.7142857142857
"ID488";"61.1";"MAY";2023;2023-05-15;137;46.67;1.814997785;16.76585708;7671.20623775;31.39;12.7142857142857
"ID489";"65.6";"MAY";2023;2023-05-15;130;39.36;1.79153391;11.41903221;7671.20623775;31.39;12.7142857142857
"ID489";"67.9";"MAY";2023;2023-05-15;130;39.36;1.79153391;11.6010019;7671.20623775;31.39;12.7142857142857
"ID489";"70.2";"MAY";2023;2023-05-15;130;39.36;1.79153391;9.959467697;7671.20623775;31.39;12.7142857142857
"ID494";"63.4";"MAY";2023;2023-05-15;205;125.87;1.461035098;10.47471877;7671.20623775;31.39;12.7142857142857
"ID494";"65.6";"MAY";2023;2023-05-15;205;125.87;1.461035098;17.35273151;7671.20623775;31.39;12.7142857142857
"ID494";"67.9";"MAY";2023;2023-05-15;205;125.87;1.461035098;18.24207334;7671.20623775;31.39;12.7142857142857
"ID495";"83.8";"MAY";2023;2023-05-15;210;162.5;1.754670122;27.98725362;7671.20623775;31.39;12.7142857142857
"ID495";"86";"MAY";2023;2023-05-15;210;162.5;1.754670122;46.51808606;7671.20623775;31.39;12.7142857142857
"ID495";"88.3";"MAY";2023;2023-05-15;210;162.5;1.754670122;58.58125497;7671.20623775;31.39;12.7142857142857
"ID496";"97.3";"MAY";2023;2023-05-15;205;129.01;1.497482625;77.99424412;7671.20623775;31.39;12.7142857142857
"ID496";"99.6";"MAY";2023;2023-05-15;205;129.01;1.497482625;106.0586341;7671.20623775;31.39;12.7142857142857
"ID496";"101.9";"MAY";2023;2023-05-15;205;129.01;1.497482625;97.86383374;7671.20623775;31.39;12.7142857142857
"ID497";"74.7";"MAY";2023;2023-05-15;185;110.38;1.743312341;12.21209636;7671.20623775;31.39;12.7142857142857
"ID497";"77";"MAY";2023;2023-05-15;185;110.38;1.743312341;14.73187573;7671.20623775;31.39;12.7142857142857
"ID497";"79.2";"MAY";2023;2023-05-15;185;110.38;1.743312341;10.67885061;7671.20623775;31.39;12.7142857142857
"ID501";"81.5";"JUN";2023;2023-06-15;194;109.79;1.50368752;16.23744924;6367.900022525;30.99;15.7142857142857
"ID501";"83.8";"JUN";2023;2023-06-15;194;109.79;1.50368752;12.49809086;6367.900022525;30.99;15.7142857142857
"ID501";"86";"JUN";2023;2023-06-15;194;109.79;1.50368752;9.809375574;6367.900022525;30.99;15.7142857142857
"ID502";"67.9";"JUN";2023;2023-06-15;185;98.67;1.558367718;12.70452325;6367.900022525;30.99;15.7142857142857
"ID502";"70.2";"JUN";2023;2023-06-15;185;98.67;1.558367718;9.512664963;6367.900022525;30.99;15.7142857142857
"ID502";"72.4";"JUN";2023;2023-06-15;185;98.67;1.558367718;7.965388579;6367.900022525;30.99;15.7142857142857
"ID503";"61.1";"JUN";2023;2023-06-15;184;99.45;1.596435286;8.559672978;6367.900022525;30.99;15.7142857142857
"ID503";"63.4";"JUN";2023;2023-06-15;184;99.45;1.596435286;6.486424546;6367.900022525;30.99;15.7142857142857
"ID503";"65.6";"JUN";2023;2023-06-15;184;99.45;1.596435286;5.703194702;6367.900022525;30.99;15.7142857142857
"ID504";"79.2";"JUN";2023;2023-06-15;184;87.88;1.410706214;13.84852221;6367.900022525;30.99;15.7142857142857
"ID504";"81.5";"JUN";2023;2023-06-15;184;87.88;1.410706214;11.27894364;6367.900022525;30.99;15.7142857142857
"ID504";"83.8";"JUN";2023;2023-06-15;184;87.88;1.410706214;8.388082954;6367.900022525;30.99;15.7142857142857
"ID506";"61.1";"JUN";2023;2023-06-15;181;89.65;1.511870417;8.708923502;6367.900022525;30.99;15.7142857142857
"ID506";"63.4";"JUN";2023;2023-06-15;181;89.65;1.511870417;6.24886442;6367.900022525;30.99;15.7142857142857
"ID506";"65.6";"JUN";2023;2023-06-15;181;89.65;1.511870417;4.798626899;6367.900022525;30.99;15.7142857142857
"ID508";"43";"JUN";2023;2023-06-15;165;66.77;1.486378941;30.29253602;6367.900022525;30.99;15.7142857142857
"ID508";"45.3";"JUN";2023;2023-06-15;165;66.77;1.486378941;16.5576856;6367.900022525;30.99;15.7142857142857
"ID508";"47.5";"JUN";2023;2023-06-15;165;66.77;1.486378941;12.80575417;6367.900022525;30.99;15.7142857142857
"ID509";"79.2";"JUN";2023;2023-06-15;200;112.52;1.4065;15.91055269;6367.900022525;30.99;15.7142857142857
"ID509";"81.5";"JUN";2023;2023-06-15;200;112.52;1.4065;13.07510782;6367.900022525;30.99;15.7142857142857
"ID509";"83.8";"JUN";2023;2023-06-15;200;112.52;1.4065;9.116750466;6367.900022525;30.99;15.7142857142857
"ID510";"54.3";"JUN";2023;2023-06-15;178;84.35;1.495633141;16.36496896;6367.900022525;30.99;15.7142857142857
"ID510";"56.6";"JUN";2023;2023-06-15;178;84.35;1.495633141;10.60924066;6367.900022525;30.99;15.7142857142857
"ID510";"58.9";"JUN";2023;2023-06-15;178;84.35;1.495633141;9.530884893;6367.900022525;30.99;15.7142857142857
"ID511";"79.2";"JUN";2023;2023-06-15;159;64.04;1.593162041;17.01736606;6367.900022525;30.99;15.7142857142857
"ID511";"81.5";"JUN";2023;2023-06-15;159;64.04;1.593162041;12.60246719;6367.900022525;30.99;15.7142857142857
"ID511";"83.8";"JUN";2023;2023-06-15;159;64.04;1.593162041;11.53960344;6367.900022525;30.99;15.7142857142857
"ID514";"63.4";"JUN";2023;2023-06-15;138;38.6;1.468757325;8.723885665;6367.900022525;30.99;15.7142857142857
"ID514";"65.6";"JUN";2023;2023-06-15;138;38.6;1.468757325;6.764856557;6367.900022525;30.99;15.7142857142857
"ID514";"67.9";"JUN";2023;2023-06-15;138;38.6;1.468757325;5.187467681;6367.900022525;30.99;15.7142857142857
